DISTRITO,mean,percentile_90,variabilidad
MORONA,23.00898028325768,23.288159561157226,0.27917927789954433
YAGUAS,23.00502794989224,23.135063934326173,0.13003598443393116
RAMON CASTILLA,22.972546548045152,23.03992805480957,0.0673815067644199
PASTAZA,22.91981959987331,23.06735763549805,0.14753803562473777
PEBAS,22.878972773331064,22.95670394897461,0.07773117564354592
LAS AMAZONAS,22.814834299395162,22.92095527648926,0.10612097709409696
IQUITOS,22.780908203125,22.868408966064454,0.08750076293945241
PUTUMAYO,22.77923931782472,22.964199829101563,0.18496051127684154
INDIANA,22.761414683948864,22.861818313598633,0.10040362964976879
YAVARI,22.747570878864604,22.971070098876954,0.22349922001235
PUNCHANA,22.717701577240568,22.78280715942383,0.06510558218326068
NAUTA,22.706025523190043,22.785440826416014,0.07941530322597146
URARINAS,22.699431678921567,22.796710586547853,0.09727890762628633
FERNANDO LORES,22.69559375,22.813032150268555,0.11743840026855423
AGUAS VERDES,22.688586044311524,22.688586044311524,0.0
