Distrito,Tmin_Media_C
RICRAN,2.41
ZURITE,2.41
AQUIA,2.42
NINACACA,2.44
LLOCLLAPAMPA,2.45
LA OROYA,2.45
QUIACA,2.46
CURICACA,2.47
SAN MATEO,2.47
QUEROPALCA,2.47
MARCABAMBA,2.5
SAN ANTONIO DE CUSICANCHA,2.51
TAMBO,2.52
SECCLLA,2.53
MADEAN,2.55
ANCAHUASI,2.55
TICAPAMPA,2.55
YANAHUANCA,2.57
SAN JUAN DE IRIS,2.58
APATA,2.59
HUATA,2.6
SAN LORENZO DE QUINTI,2.61
CCATCA,2.64
ATAQUERO,2.64
TUPAC AMARU,2.65
TICLLOS,2.66
QUINOTA,2.72
OLLANTAYTAMBO,2.73
SAN JUAN DE ISCOS,2.74
HUANDO,2.77
CHIPAO,2.81
SAN MARCOS DE ROCCHAC,2.82
CHUSCHI,2.82
PARURO,2.83
VINCHOS,2.84
GAMARRA,2.85
SANGARARA,2.85
EL ORO,2.89
VILCANCHOS,2.89
PROGRESO,2.9
ACOSTAMBO,2.92
CORACORA,2.93
SHILLA,2.94
CATAC,2.94
CANIS,2.96
TILALI,2.98
TORAYA,2.99
SAN PEDRO DE HUANCAYRE,3.0
NAHUIMPUQUIO,3.02
CHAMBARA,3.02
LARES,3.03
AZANGARO,3.03
CABANACONDE,3.04
ANCHONGA,3.08
ANDAMARCA,3.09
TARMA,3.1
SANAYCA,3.1
HUARO,3.11
TUNAN MARCA,3.12
SAPALLANGA,3.13
CHIGUATA,3.13
TUMAY HUARACA,3.14
SAN PEDRO DE PILLAO,3.14
PALCAMAYO,3.16
CUSCO,3.17
SAN PEDRO DE CAJAS,3.2
BANOS,3.21
CUCHUMBAYA,3.23
CHAVIN DE HUANTAR,3.24
SAN MIGUEL DE CORPANQUI,3.24
HUARICOLCA,3.25
SORAS,3.27
UPAHUACHO,3.27
ACOLLA,3.29
CULLHUAS,3.3
LAMAY,3.3
SANGALLAYA,3.32
CHARCANA,3.33
TOTOS,3.34
TAMBOBAMBA,3.34
POMACANCHI,3.35
SANTA LEONOR,3.37
HUANCA-HUANCA,3.39
SARHUA,3.39
QUERCO,3.4
SANTA LUCIA,3.4
PAMPAMARCA,3.41
YAUYOS,3.42
SAN MIGUEL DE ACO,3.42
MOLINOS,3.42
TORATA,3.43
CARMEN SALCEDO,3.44
LUCRE,3.45
SAN CRISTOBAL DE RAJAN,3.46
COTAPARACO,3.47
PICHOS,3.49
SAN MIGUEL DE CAURI,3.49
COCAS,3.49
SACSAMARCA,3.5
YAURISQUE,3.5
TURPAY,3.51
YURA,3.51
URUBAMBA,3.51
COLTA,3.51
COLQUEPATA,3.54
CANARIA,3.54
HUAMATAMBO,3.55
ATAVILLOS ALTO,3.55
SANTO TOMAS DE PATA,3.56
SANTIAGO DE PAUCARAY,3.58
JOSE MARIA ARGUEDAS,3.58
LEONOR ORDONEZ,3.58
HUANCARANI,3.58
TICLACAYAN,3.59
AHUAC,3.6
SANTO TORIBIO,3.6
CAPAYA,3.62
COPA,3.63
HUANCA,3.64
CANTA,3.65
CARHUACALLANGA,3.65
HUANTAR,3.66
POROY,3.67
AUCARA,3.68
MOYA,3.71
CHACA,3.72
ARMA,3.72
SAN DAMIAN,3.72
SAN PEDRO DE PALCO,3.72
PARIAHUANCA,3.72
CARAYBAMBA,3.74
ANTA,3.76
PARCO,3.77
YANAMA,3.77
TINTA,3.79
SANTO DOMINGO DE CAPILLAS,3.8
AIJA,3.81
SAN PEDRO DE LARCAY,3.81
SAN JUAN DE CHACNA,3.81
MANZANARES,3.81
VEINTISIETE DE NOVIEMBRE,3.82
CHACAS,3.84
PAMPACHIRI,3.85
UCHURACCAY,3.86
RECUAY,3.86
POCSI,3.86
SAN FRANCISCO DE ASIS DE YARUSYACAN,3.88
CABANA,3.89
HUASTA,3.9
PUQUINA,3.9
SANTIAGO DE TUCUMA,3.91
LLUTA,3.92
PACAPAUSA,3.92
COLQUEMARCA,3.94
COLONIA,3.96
LARAMARCA,3.97
MARCO,3.98
COYLLURQUI,3.99
HUANUARA,4.0
OMATE,4.02
LOS MOROCHUCOS,4.03
TARICA,4.04
HUARAZ,4.05
APONGO,4.06
PACHACONAS,4.08
PAUCARBAMBA,4.09
CHALLABAMBA,4.1
MASMA,4.11
HUACLLAN,4.11
ALCA,4.13
CASCAPARA,4.18
PILLPINTO,4.21
SAN SALVADOR DE QUIJE,4.21
QUINCHES,4.21
LUCANAS,4.22
HUANCARAYLLA,4.22
CHINCHERO,4.23
RONDOCAN,4.23
MOSOC LLACTA,4.24
HUARI,4.24
SAN FRANCISCO DE RAVACAYCO,4.25
MARIA PARADO DE BELLIDO,4.27
LUIS CARRANZA,4.29
ORCOTUNA,4.29
SICAYA,4.33
PACCHA,4.33
RAGASH,4.34
URCOS,4.34
ANDAJES,4.36
MICAELA BASTIDAS,4.37
ACCHA,4.37
ACORIA,4.38
MANCOS,4.38
ACO,4.39
YUNGAR,4.4
CHIARA,4.4
ESTIQUE,4.41
COLPAS,4.41
PUNCHAO,4.42
MARA,4.42
SHUPLUY,4.42
CACHIMAYO,4.44
TARAY,4.45
PISAC,4.45
PILCOMAYO,4.47
SANTA MARIA DE CHICMO,4.47
TANTARA,4.47
PUQUIO,4.48
ALLAUCA,4.48
CHACOCHE,4.5
HUAYACUNDO ARMA,4.5
RONDOS,4.52
HUAYLLAPAMPA,4.54
LIMATAMBO,4.56
CACRA,4.56
SANTA ANA DE TUSI,4.56
RANRACANCHA,4.57
SANTA TERESA,4.58
SAN SEBASTIAN,4.59
VISCHONGO,4.59
PAMPAS,4.6
CHIQUIAN,4.61
LA LIBERTAD,4.61
PACHAS,4.61
GORGOR,4.65
QUINISTAQUILLAS,4.66
HUACHOS,4.66
PUCYURA,4.67
WANCHAQ,4.67
MAMARA,4.68
ACOCHACA,4.69
PACA,4.69
HUALLA,4.69
CAJACAY,4.69
SOCOS,4.69
HUANCAPI,4.71
PAMPAS CHICO,4.72
SANTA ROSA DE OCOPA,4.73
MITO,4.73
QUILAHUANI,4.74
TRES DE DICIEMBRE,4.76
MUQUIYAUYO,4.78
LLATA,4.79
LLUMPA,4.8
POMABAMBA,4.8
LLIPA,4.81
LOCROJA,4.81
COYA,4.81
HUARIBAMBA,4.82
HUALHUAS,4.83
ACOCRO,4.84
CHINGALPO,4.84
ITUATA,4.85
ANDAHUAYLAS,4.85
TAPO,4.86
CARHUANCA,4.88
EL MANTARO,4.89
MARCARA,4.9
RIPAN,4.9
HUERTAS,4.91
SABAINO,4.92
HUAMANCACA CHICO,4.92
QUIRUVILCA,4.93
QUICHUAS,4.94
CIRCA,4.96
PUNOS,4.96
PARARCA,4.97
CUSCA,4.97
PIRA,4.98
PALLANCHACRA,4.99
LACHAQUI,4.99
VILCAS HUAMAN,5.0
HUACANA,5.0
AMANTANI,5.01
HUAYLLAY GRANDE,5.02
SINGA,5.02
TINTAY,5.02
HUACHON,5.04
PICHIRHUA,5.04
HUANOQUITE,5.04
PACLLON,5.05
SAN MARCOS,5.07
JACAS GRANDE,5.08
CONCHUCOS,5.08
SANTA ANA,5.09
PILCHACA,5.09
CHURCAMPA,5.11
MARGOS,5.13
HUASAHUASI,5.14
CASHAPAMPA,5.14
ANCO_HUALLO,5.16
CARAPO,5.17
YUNGAY,5.18
CONGALLA,5.18
MATAHUASI,5.18
CAICAY,5.19
CHARACATO,5.19
YACUS,5.21
PUYUSCA,5.22
HUAMBALPA,5.22
SAN SALVADOR,5.23
SHUNQUI,5.24
CORDOVA,5.24
CHINCHAYPUJIO,5.26
APARICIO POMARES,5.27
MORCOLLA,5.29
JIVIA,5.29
LAMBRAMA,5.29
TURPO,5.31
YURACMARCA,5.34
OBAS,5.34
ANAPIA,5.34
JACAS CHICO,5.36
PAICO,5.37
CAJAY,5.38
ASQUIPATA,5.39
HUAYLAS,5.4
CURASCO,5.4
JANGAS,5.4
HUACHUPAMPA,5.42
CHAVINILLO,5.44
CONCEPCION,5.46
SAN JUAN DE RONTOY,5.48
BULDIBUYO,5.48
CAJATAMBO,5.49
PACHANGARA,5.5
CAPACMARCA,5.51
JESUS,5.52
CAYNA,5.55
ROSARIO,5.55
CHUQUIS,5.56
MARAS,5.56
CHACAYAN,5.57
MIRGAS,5.57
POMACOCHA,5.58
HUANCARAY,5.58
ACOPIA,5.59
HUAYLLABAMBA,5.61
YANACA,5.62
HUAYUCACHI,5.63
SITAJARA,5.64
HUAYANA,5.66
COCHAMARCA,5.67
OCROS,5.67
SAN PEDRO DE CASTA,5.68
ACOS,5.68
SANTIAGO DE CHILCAS,5.69
SAN PEDRO DE CHANA,5.71
RAPAYAN,5.71
SAN ANTONIO DE ANTAPARCO,5.72
LARAMATE,5.72
CAJAMARCA,5.73
HUACRAPUQUIO,5.73
ESTIQUE-PAMPA,5.75
HUAMANGUILLA,5.75
SARA SARA,5.77
TAPUC,5.78
YANAS,5.78
GOYLLARISQUIZGA,5.79
HUAMANQUIQUIA,5.8
MATUCANA,5.81
CUENCA,5.82
LLAPA,5.82
CHAVINA,5.83
CARHUAZ,5.85
ENCANADA,5.85
DANIEL HERNANDEZ,5.85
SANCOS,5.86
VINAC,5.87
CHALHUANCA,5.89
PAUCAR,5.9
YARUMAYO,5.91
SILLAPATA,5.94
